Year,Filename,Topic,Paragraph_Length,Theme,Topic Interpretation,Group
2014,doc_AY2014_007_para_6_46.txt,-1,162,Outlier,Outliers,G0
2014,doc_AY2014_011_para_10_79.txt,4,126,"Strategic Command, Technology, and Multi-Domain Warfare",Regional Alignment and Funding Support,G2
2014,doc_AY2014_011_para_10_81.txt,4,118,"Strategic Command, Technology, and Multi-Domain Warfare",Regional Alignment and Funding Support,G2
2014,doc_AY2014_011_para_10_82.txt,2,115,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2014,doc_AY2014_011_para_10_83.txt,4,151,"Strategic Command, Technology, and Multi-Domain Warfare",Regional Alignment and Funding Support,G2
2014,doc_AY2014_016_para_15_112.txt,1,152,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2014,doc_AY2014_016_para_15_113.txt,1,191,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2014,doc_AY2014_016_para_15_114.txt,19,127,Operational Readiness and Reserve Mobilization,Sustainment and Modernization Efforts,G1
2014,doc_AY2014_016_para_15_115.txt,18,138,Operational Readiness and Reserve Mobilization,Reserve Support and Mobilization Duties,G1
2014,doc_AY2014_016_para_15_116.txt,10,76,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2014,doc_AY2014_016_para_15_117.txt,1,162,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2014,doc_AY2014_021_para_20_150.txt,10,177,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2014,doc_AY2014_021_para_20_152.txt,17,120,"Strategic Command, Technology, and Multi-Domain Warfare",Security Force Assistance Brigades,G2
2014,doc_AY2014_021_para_20_153.txt,6,123,Operational Readiness and Reserve Mobilization,Unit Training and Readiness Cycle,G1
2014,doc_AY2014_021_para_20_156.txt,10,124,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2014,doc_AY2014_023_para_22_165.txt,19,64,Operational Readiness and Reserve Mobilization,Sustainment and Modernization Efforts,G1
2014,doc_AY2014_023_para_22_169.txt,6,81,Operational Readiness and Reserve Mobilization,Unit Training and Readiness Cycle,G1
2014,doc_AY2014_023_para_22_170.txt,19,115,Operational Readiness and Reserve Mobilization,Sustainment and Modernization Efforts,G1
2014,doc_AY2014_027_para_26_195.txt,10,241,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2014,doc_AY2014_027_para_26_197.txt,1,449,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2014,doc_AY2014_028_para_27_199.txt,6,143,Operational Readiness and Reserve Mobilization,Unit Training and Readiness Cycle,G1
2014,doc_AY2014_028_para_27_200.txt,6,220,Operational Readiness and Reserve Mobilization,Unit Training and Readiness Cycle,G1
2014,doc_AY2014_028_para_27_201.txt,6,249,Operational Readiness and Reserve Mobilization,Unit Training and Readiness Cycle,G1
2014,doc_AY2014_028_para_27_202.txt,6,112,Operational Readiness and Reserve Mobilization,Unit Training and Readiness Cycle,G1
2014,doc_AY2014_030_para_29_214.txt,10,278,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2014,doc_AY2014_030_para_29_217.txt,10,154,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2014,doc_AY2014_030_para_29_218.txt,10,129,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2014,doc_AY2014_033_para_32_233.txt,0,272,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_040_para_39_278.txt,0,150,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_040_para_39_279.txt,10,163,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2014,doc_AY2014_040_para_39_280.txt,7,189,"Strategic Command, Technology, and Multi-Domain Warfare",Multi-Domain Operations Concepts,G2
2014,doc_AY2014_044_para_43_308.txt,12,95,Operational Readiness and Reserve Mobilization,Leadership Development and Combat Planning,G1
2014,doc_AY2014_045_para_44_313.txt,8,98,"Strategic Command, Technology, and Multi-Domain Warfare",Additive Manufacturing Technologies,G2
2014,doc_AY2014_050_para_49_349.txt,4,198,"Strategic Command, Technology, and Multi-Domain Warfare",Regional Alignment and Funding Support,G2
2014,doc_AY2014_050_para_49_350.txt,0,183,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_052_para_51_364.txt,14,143,Operational Readiness and Reserve Mobilization,Operational Reserve Training and Mobilization,G1
2014,doc_AY2014_052_para_51_365.txt,2,98,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2014,doc_AY2014_052_para_51_369.txt,10,142,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2014,doc_AY2014_052_para_51_370.txt,10,75,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2014,doc_AY2014_053_para_52_376.txt,0,87,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_053_para_52_377.txt,3,89,Operational Readiness and Reserve Mobilization,National Guard and Reserve Components,G1
2014,doc_AY2014_056_para_55_394.txt,0,144,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_056_para_55_397.txt,0,180,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_057_para_56_403.txt,4,195,"Strategic Command, Technology, and Multi-Domain Warfare",Regional Alignment and Funding Support,G2
2014,doc_AY2014_057_para_56_404.txt,4,83,"Strategic Command, Technology, and Multi-Domain Warfare",Regional Alignment and Funding Support,G2
2014,doc_AY2014_061_para_60_425.txt,1,208,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2014,doc_AY2014_061_para_60_426.txt,-1,109,Outlier,Outliers,G0
2014,doc_AY2014_061_para_60_430.txt,10,156,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2014,doc_AY2014_061_para_60_434.txt,1,189,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2014,doc_AY2014_061_para_60_435.txt,2,158,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2014,doc_AY2014_061_para_60_436.txt,7,149,"Strategic Command, Technology, and Multi-Domain Warfare",Multi-Domain Operations Concepts,G2
2014,doc_AY2014_063_para_62_445.txt,4,185,"Strategic Command, Technology, and Multi-Domain Warfare",Regional Alignment and Funding Support,G2
2014,doc_AY2014_063_para_62_446.txt,0,86,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_063_para_62_447.txt,0,95,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_063_para_62_448.txt,0,100,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_063_para_62_450.txt,13,123,Operational Readiness and Reserve Mobilization,Brigade Combat Team Readiness,G1
2014,doc_AY2014_063_para_62_451.txt,0,98,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_063_para_62_452.txt,14,78,Operational Readiness and Reserve Mobilization,Operational Reserve Training and Mobilization,G1
2014,doc_AY2014_075_para_74_530.txt,3,143,Operational Readiness and Reserve Mobilization,National Guard and Reserve Components,G1
2014,doc_AY2014_083_para_82_592.txt,0,168,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_083_para_82_594.txt,2,280,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2014,doc_AY2014_084_para_83_597.txt,0,229,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_089_para_88_641.txt,19,135,Operational Readiness and Reserve Mobilization,Sustainment and Modernization Efforts,G1
2014,doc_AY2014_090_para_89_645.txt,1,159,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2014,doc_AY2014_090_para_89_646.txt,1,126,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2014,doc_AY2014_090_para_89_647.txt,1,102,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2014,doc_AY2014_090_para_89_648.txt,1,96,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2014,doc_AY2014_090_para_89_649.txt,1,95,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2014,doc_AY2014_090_para_89_650.txt,1,93,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2014,doc_AY2014_090_para_89_651.txt,-1,109,Outlier,Outliers,G0
2014,doc_AY2014_090_para_89_652.txt,5,99,"Strategic Command, Technology, and Multi-Domain Warfare",Defense Logistics and Enterprise Management,G2
2014,doc_AY2014_092_para_91_663.txt,0,72,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_092_para_91_666.txt,0,61,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_094_para_93_686.txt,20,123,Operational Readiness and Reserve Mobilization,Equipment Maintenance and Deployment Support,G1
2014,doc_AY2014_106_para_105_756.txt,5,149,"Strategic Command, Technology, and Multi-Domain Warfare",Defense Logistics and Enterprise Management,G2
2014,doc_AY2014_106_para_105_757.txt,20,175,Operational Readiness and Reserve Mobilization,Equipment Maintenance and Deployment Support,G1
2014,doc_AY2014_106_para_105_760.txt,20,125,Operational Readiness and Reserve Mobilization,Equipment Maintenance and Deployment Support,G1
2014,doc_AY2014_109_para_108_778.txt,0,149,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_109_para_108_779.txt,0,134,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_109_para_108_780.txt,0,111,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_127_para_126_901.txt,19,173,Operational Readiness and Reserve Mobilization,Sustainment and Modernization Efforts,G1
2014,doc_AY2014_128_para_127_905.txt,6,149,Operational Readiness and Reserve Mobilization,Unit Training and Readiness Cycle,G1
2014,doc_AY2014_128_para_127_909.txt,9,176,Operational Readiness and Reserve Mobilization,Mobilization Processes for Reserves,G1
2014,doc_AY2014_128_para_127_913.txt,18,95,Operational Readiness and Reserve Mobilization,Reserve Support and Mobilization Duties,G1
2014,doc_AY2014_129_para_128_914.txt,0,149,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_129_para_128_917.txt,14,144,Operational Readiness and Reserve Mobilization,Operational Reserve Training and Mobilization,G1
2014,doc_AY2014_129_para_128_918.txt,6,95,Operational Readiness and Reserve Mobilization,Unit Training and Readiness Cycle,G1
2014,doc_AY2014_129_para_128_919.txt,13,105,Operational Readiness and Reserve Mobilization,Brigade Combat Team Readiness,G1
2014,doc_AY2014_129_para_128_920.txt,13,87,Operational Readiness and Reserve Mobilization,Brigade Combat Team Readiness,G1
2014,doc_AY2014_129_para_128_921.txt,14,100,Operational Readiness and Reserve Mobilization,Operational Reserve Training and Mobilization,G1
2014,doc_AY2014_130_para_129_923.txt,19,396,Operational Readiness and Reserve Mobilization,Sustainment and Modernization Efforts,G1
2014,doc_AY2014_130_para_129_924.txt,13,180,Operational Readiness and Reserve Mobilization,Brigade Combat Team Readiness,G1
2014,doc_AY2014_130_para_129_925.txt,12,179,Operational Readiness and Reserve Mobilization,Leadership Development and Combat Planning,G1
2014,doc_AY2014_130_para_129_926.txt,4,132,"Strategic Command, Technology, and Multi-Domain Warfare",Regional Alignment and Funding Support,G2
2014,doc_AY2014_135_para_134_963.txt,1,135,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2014,doc_AY2014_135_para_134_964.txt,1,174,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2014,doc_AY2014_136_para_135_968.txt,2,113,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2014,doc_AY2014_136_para_135_969.txt,2,115,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2014,doc_AY2014_136_para_135_972.txt,2,123,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2014,doc_AY2014_140_para_139_994.txt,4,150,"Strategic Command, Technology, and Multi-Domain Warfare",Regional Alignment and Funding Support,G2
2014,doc_AY2014_140_para_139_995.txt,4,132,"Strategic Command, Technology, and Multi-Domain Warfare",Regional Alignment and Funding Support,G2
2014,doc_AY2014_140_para_139_996.txt,20,119,Operational Readiness and Reserve Mobilization,Equipment Maintenance and Deployment Support,G1
2014,doc_AY2014_140_para_139_999.txt,15,77,"Strategic Command, Technology, and Multi-Domain Warfare",Artillery and Missile Capability Integration,G2
2014,doc_AY2014_141_para_140_1001.txt,2,188,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2014,doc_AY2014_141_para_140_1002.txt,-1,121,Outlier,Outliers,G0
2014,doc_AY2014_141_para_140_1004.txt,10,158,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2014,doc_AY2014_141_para_140_1005.txt,2,121,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2014,doc_AY2014_142_para_141_1012.txt,2,170,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2014,doc_AY2014_147_para_146_1052.txt,1,110,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2014,doc_AY2014_150_para_149_1073.txt,0,139,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_150_para_149_1074.txt,0,128,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_150_para_149_1075.txt,7,145,"Strategic Command, Technology, and Multi-Domain Warfare",Multi-Domain Operations Concepts,G2
2014,doc_AY2014_150_para_149_1080.txt,0,133,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_159_para_158_1147.txt,0,129,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_159_para_158_1148.txt,0,236,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_159_para_158_1149.txt,0,208,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_159_para_158_1150.txt,0,116,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_171_para_170_1224.txt,4,187,"Strategic Command, Technology, and Multi-Domain Warfare",Regional Alignment and Funding Support,G2
2014,doc_AY2014_171_para_170_1226.txt,2,153,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2014,doc_AY2014_171_para_170_1227.txt,4,132,"Strategic Command, Technology, and Multi-Domain Warfare",Regional Alignment and Funding Support,G2
2014,doc_AY2014_171_para_170_1231.txt,4,142,"Strategic Command, Technology, and Multi-Domain Warfare",Regional Alignment and Funding Support,G2
2014,doc_AY2014_172_para_171_1233.txt,2,214,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2014,doc_AY2014_180_para_178_1281.txt,2,105,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2014,doc_AY2014_180_para_178_1283.txt,2,89,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2014,doc_AY2014_182_para_180_1294.txt,0,33,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_182_para_180_1295.txt,2,186,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2014,doc_AY2014_183_para_181_1300.txt,15,161,"Strategic Command, Technology, and Multi-Domain Warfare",Artillery and Missile Capability Integration,G2
2014,doc_AY2014_183_para_181_1301.txt,11,184,"Strategic Command, Technology, and Multi-Domain Warfare",Domain Warfare and Artillery Operations,G2
2014,doc_AY2014_183_para_181_1302.txt,2,161,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2014,doc_AY2014_183_para_181_1303.txt,2,114,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2014,doc_AY2014_183_para_181_1304.txt,2,217,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2014,doc_AY2014_183_para_181_1305.txt,2,98,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2014,doc_AY2014_183_para_181_1306.txt,15,93,"Strategic Command, Technology, and Multi-Domain Warfare",Artillery and Missile Capability Integration,G2
2014,doc_AY2014_183_para_181_1307.txt,2,141,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2014,doc_AY2014_183_para_181_1309.txt,15,96,"Strategic Command, Technology, and Multi-Domain Warfare",Artillery and Missile Capability Integration,G2
2014,doc_AY2014_190_para_188_1356.txt,9,91,Operational Readiness and Reserve Mobilization,Mobilization Processes for Reserves,G1
2014,doc_AY2014_192_para_190_1365.txt,0,165,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_193_para_191_1377.txt,10,60,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2014,doc_AY2014_195_para_193_1391.txt,0,233,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_195_para_193_1393.txt,0,314,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_195_para_193_1394.txt,0,249,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_196_para_194_1396.txt,5,220,"Strategic Command, Technology, and Multi-Domain Warfare",Defense Logistics and Enterprise Management,G2
2014,doc_AY2014_198_para_196_1416.txt,13,147,Operational Readiness and Reserve Mobilization,Brigade Combat Team Readiness,G1
2014,doc_AY2014_200_para_198_1425.txt,4,231,"Strategic Command, Technology, and Multi-Domain Warfare",Regional Alignment and Funding Support,G2
2014,doc_AY2014_200_para_198_1426.txt,10,669,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2014,doc_AY2014_200_para_198_1427.txt,10,153,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2014,doc_AY2014_201_para_199_1430.txt,3,181,Operational Readiness and Reserve Mobilization,National Guard and Reserve Components,G1
2014,doc_AY2014_208_para_206_1472.txt,0,249,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_208_para_206_1473.txt,0,216,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_208_para_206_1474.txt,0,121,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_208_para_206_1475.txt,0,147,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_208_para_206_1476.txt,0,122,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_209_para_207_1477.txt,0,189,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_209_para_207_1478.txt,0,111,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_209_para_207_1479.txt,0,206,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_209_para_207_1480.txt,19,180,Operational Readiness and Reserve Mobilization,Sustainment and Modernization Efforts,G1
2014,doc_AY2014_209_para_207_1484.txt,0,241,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_209_para_207_1489.txt,0,144,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_209_para_207_1490.txt,0,226,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_209_para_207_1491.txt,0,87,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_210_para_208_1493.txt,0,111,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_210_para_208_1497.txt,0,94,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_210_para_208_1499.txt,0,103,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_211_para_209_1500.txt,0,156,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_211_para_209_1501.txt,0,151,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_211_para_209_1506.txt,0,159,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_212_para_210_1507.txt,0,156,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_212_para_210_1508.txt,13,246,Operational Readiness and Reserve Mobilization,Brigade Combat Team Readiness,G1
2014,doc_AY2014_212_para_210_1513.txt,13,89,Operational Readiness and Reserve Mobilization,Brigade Combat Team Readiness,G1
2014,doc_AY2014_213_para_211_1515.txt,0,226,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_214_para_212_1520.txt,4,95,"Strategic Command, Technology, and Multi-Domain Warfare",Regional Alignment and Funding Support,G2
2014,doc_AY2014_214_para_212_1522.txt,4,189,"Strategic Command, Technology, and Multi-Domain Warfare",Regional Alignment and Funding Support,G2
2014,doc_AY2014_214_para_212_1523.txt,0,238,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_214_para_212_1524.txt,4,75,"Strategic Command, Technology, and Multi-Domain Warfare",Regional Alignment and Funding Support,G2
2014,doc_AY2014_214_para_212_1525.txt,4,110,"Strategic Command, Technology, and Multi-Domain Warfare",Regional Alignment and Funding Support,G2
2014,doc_AY2014_214_para_212_1527.txt,4,105,"Strategic Command, Technology, and Multi-Domain Warfare",Regional Alignment and Funding Support,G2
2014,doc_AY2014_214_para_212_1528.txt,4,108,"Strategic Command, Technology, and Multi-Domain Warfare",Regional Alignment and Funding Support,G2
2014,doc_AY2014_214_para_212_1529.txt,4,90,"Strategic Command, Technology, and Multi-Domain Warfare",Regional Alignment and Funding Support,G2
2014,doc_AY2014_225_para_223_1608.txt,13,258,Operational Readiness and Reserve Mobilization,Brigade Combat Team Readiness,G1
2014,doc_AY2014_225_para_223_1609.txt,1,253,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2014,doc_AY2014_225_para_223_1610.txt,1,181,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2014,doc_AY2014_233_para_231_1663.txt,0,166,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_233_para_231_1664.txt,0,184,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_233_para_231_1668.txt,0,62,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2014,doc_AY2014_238_para_236_1709.txt,6,119,Operational Readiness and Reserve Mobilization,Unit Training and Readiness Cycle,G1
2014,doc_AY2014_238_para_236_1711.txt,9,168,Operational Readiness and Reserve Mobilization,Mobilization Processes for Reserves,G1
2014,doc_AY2014_238_para_236_1712.txt,1,67,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2014,doc_AY2014_242_para_240_1732.txt,4,177,"Strategic Command, Technology, and Multi-Domain Warfare",Regional Alignment and Funding Support,G2
