Interpreted Label,Description,Force Generation/Employment Focus Rank,Force Generation/Employment Focus Description,Name,Representation
Energy and Power Infrastructure ," Covers fuel, renewable energy, and power grid support for installations.",21,Moderately relevant: Can support force gen/emp but not critical,40_energy_fuel_power_grid,"['energy', 'fuel', 'power', 'grid', 'installation', 'electricity', 'electric', 'vehicle', 'emp', 'battery', 'renewable', 'electrical', 'outage', 'army', 'power grid']"
Military Police Operations ," Involves military police, law enforcement, and border security.",22,Moderately relevant: Can support force gen/emp but not critical,36_police_military police_enforcement_law enforcement,"['police', 'military police', 'enforcement', 'law enforcement', 'border', 'mp', 'law', 'equipment', '1033', 'military', 'force', 'agency', 'lea', 'train', 'program']"
Diversity in the Military ," Addresses gender, race, and inclusion in military service.",23,Moderately relevant: Can support force gen/emp but not critical,10_woman_diversity_gender_female,"['woman', 'diversity', 'gender', 'female', 'army', 'officer', 'minority', 'african american', 'black', 'military', 'combat', 'racial', 'american', 'service', 'bias']"
Afghanistan Security Cooperation ," Covers operations, partnerships, and security efforts in Afghanistan.",24,Lower relevance: Geopolitics and strategy rather than force gen/emp,11_afghanistan_security_taliban_afghan,"['afghanistan', 'security', 'taliban', 'afghan', 'cooperation', 'security cooperation', 'partner', 'operation', 'interagency', 'effort', 'military', 'state', 'dod', 'force', 'assistance']"
Arctic Strategy ," Focuses on Arctic region, resources, and strategic competition.",25,Lower relevance: Geopolitics and strategy rather than force gen/emp,14_arctic_region_alaska_russia,"['arctic', 'region', 'alaska', 'russia', 'arctic region', 'norway', 'ice', 'indigenous', 'sea', 'state', 'strategy', 'resource', 'increase', 'national', 'arctic strategy']"
Information and Disinformation Operations ," Covers social media, propaganda, and influence operations.",26,Lower relevance: Geopolitics and strategy rather than force gen/emp,29_medium_information_social medium_social,"['medium', 'information', 'social medium', 'social', 'use', 'communication', 'public', 'message', 'disinformation', 'influence', 'audience', 'propaganda', 'operation', 'adversary', 'online']"
Biometric Technologies ," Addresses biometric systems, facial recognition, and ethical concerns.",27,Lower relevance: Geopolitics and strategy rather than force gen/emp,41_biometric_enhancement_dna_technology,"['biometric', 'enhancement', 'dna', 'technology', 'use', 'facial', 'brain', 'ethical', 'bci', 'identity', 'biometrics', 'facial recognition', 'individual', 'recognition', 'forensic']"
Russia and NATO Dynamics ," Addresses Russian military actions, NATO alliances, and European security.",28,Lower relevance: Geopolitics and strategy rather than force gen/emp,2_russia_nato_russian_ukraine,"['russia', 'nato', 'russian', 'ukraine', 'europe', 'state', 'defense', 'european', 'military', 'force', 'security', 'baltic', 'alliance', 'putin', 'eu']"
Counterterrorism (ISIL) , Focuses on combating Islamic State and terrorist groups.,29,Lower relevance: Geopolitics and strategy rather than force gen/emp,16_isil_islamic_isi_iraq,"['isil', 'islamic', 'isi', 'iraq', 'islamic state', 'iraqi', 'state', 'terrorist', 'al', 'muslim', 'sunni', 'terrorism', 'extremism', 'islam', 'group']"
Turkey and Syrian Conflicts ," Covers Turkish-Syrian relations, ISIS, and regional conflicts.",30,Lower relevance: Geopolitics and strategy rather than force gen/emp,27_turkey_syria_syrian_turkish,"['turkey', 'syria', 'syrian', 'turkish', 'assad', 'russia', 'isi', 'regime', 'sdf', 'erdogan', 'iraq', 'state', 'assad regime', 'political', 'kurdish']"
Israel and Middle East Security ," Focuses on Israeli security, Hezbollah, and regional tensions.",31,Lower relevance: Geopolitics and strategy rather than force gen/emp,31_israel_hezbollah_lebanon_lebanese,"['israel', 'hezbollah', 'lebanon', 'lebanese', 'israeli', 'palestinian', 'idf', 'war', 'security', 'arab', 'iran', 'syria', 'state', 'accord', 'syrian']"
North Korea and Nuclear Threats ," Focuses on North Korean regime, nuclear issues, and peninsula security.",32,Lower relevance: Geopolitics and strategy rather than force gen/emp,22_korea_north_north korea_korean,"['korea', 'north', 'north korea', 'korean', 'nuclear', 'dprk', 'north korean', 'south', 'south korea', 'kim', 'rok', 'regime', 'peninsula', 'china', 'japan']"
Iran and Middle East Conflicts ," Addresses Iranian influence, nuclear issues, and Gulf region dynamics.",33,Lower relevance: Geopolitics and strategy rather than force gen/emp,20_iran_saudi_iranian_nuclear,"['iran', 'saudi', 'iranian', 'nuclear', 'arabia', 'saudi arabia', 'yemen', 'gulf', 'arab', 'region', 'gcc', 'qatar', 'regional', 'middle', 'state']"
African Security and Conflicts ," Addresses African conflicts, military operations, and regional stability.",34,Lower relevance: Geopolitics and strategy rather than force gen/emp,3_africa_african_security_country,"['africa', 'african', 'security', 'country', 'state', 'government', 'region', 'conflict', 'military', 'group', 'nigeria', 'mali', 'political', 'peace', 'economic']"
China and Indo-Pacific Strategy," Covers Chinese influence, regional power, and Asia-Pacific security",35,Lower relevance: Geopolitics and strategy rather than force gen/emp,0_china_india_chinese_state,"['china', 'india', 'chinese', 'state', 'economic', 'unite', 'pacific', 'unite state', 'sea', 'region', 'asean', 'asia', 'power', 'south', 'prc']"
National Security and War Strategy ," Centers on national security, military strategy, and global power dynamics.",36,Lower relevance: Geopolitics and strategy rather than force gen/emp,7_war_power_state_national,"['war', 'power', 'state', 'national', 'strategy', 'military', 'policy', 'security', 'national security', 'unite', 'strategic', 'unite state', 'international', 'use', 'world']"
Latin America and Drug Trafficking ," Covers security, crime, and border issues in Latin America.",37,Lower relevance: Geopolitics and strategy rather than force gen/emp,5_drug_mexico_country_latin,"['drug', 'mexico', 'country', 'latin', 'america', 'security', 'state', 'mexican', 'crime', 'government', 'national', 'criminal', 'traffic', 'border', 'unite']"
NATO and Balkan Security ," Addresses NATO’s role, Kosovo, and Western Balkan stability.",38,Lower relevance: Geopolitics and strategy rather than force gen/emp,30_nato_kosovo_balkan_bih,"['nato', 'kosovo', 'balkan', 'bih', 'montenegro', 'serbia', 'eu', 'country', 'western balkan', 'bosnia', 'security', 'western', 'membership', 'herzegovina', 'bosnia herzegovina']"
Caucasus Regional Conflicts ," Covers Georgia, Armenia, Azerbaijan, and Russian influence.",39,Lower relevance: Geopolitics and strategy rather than force gen/emp,37_georgia_armenia_azerbaijan_georgian,"['georgia', 'armenia', 'azerbaijan', 'georgian', 'russia', 'caucasus', 'russian', 'south caucasus', 'armenian', 'south', 'karabakh', 'region', 'soviet', 'nagorno', 'nagorno karabakh']"
Climate Change and Security ," Focuses on climate impacts, resource security, and global challenges.",40,Lowest relevence: Lack direct ties to force gen/emp,18_climate_water_climate change_energy,"['climate', 'water', 'climate change', 'energy', 'change', 'oil', 'food', 'security', 'gas', 'impact', 'state', 'increase', 'global', 'dam', 'country']"
Defense Budget and Funding ," Covers military spending, fiscal processes, and appropriations.",41,Lowest relevence: Lack direct ties to force gen/emp,32_budget_spend_debt_year,"['budget', 'spend', 'debt', 'year', 'dod', 'fund', 'financial', 'ppbe', 'congress', 'process', 'cost', 'fiscal', 'appropriation', 'program', 'defense']"
Organizational Culture Change , Involves cultural transformation and leadership in military organizations.,42,Lowest relevence: Lack direct ties to force gen/emp,34_change_culture_organizational_organization,"['change', 'culture', 'organizational', 'organization', 'organizational culture', 'kotter', 'army', 'leader', 'cultural', 'vision', 'step', 'schein', 'model', 'value', 'process']"
Chaplaincy and Religious Support , Focuses on spiritual support and religious services in the army.,43,Lowest relevence: Lack direct ties to force gen/emp,23_chaplain_religious_religion_chaplain corp,"['chaplain', 'religious', 'religion', 'chaplain corp', 'spiritual', 'chaplaincy', 'army', 'corp', 'faith', 'army chaplain', 'religious support', 'strategic', 'religious freedom', 'leader', 'freedom']"
Migration and Border Security ," Addresses refugee crises, immigration, and European border issues.",44,Lowest relevence: Lack direct ties to force gen/emp,42_migration_migrant_refugee_european,"['migration', 'migrant', 'refugee', 'european', 'eu', 'asylum', 'country', 'europe', 'immigration', 'border', 'crisis', 'illegal', 'right', 'bulgarian', 'union']"
Civil War History , Addresses historical U.S. Civil War campaigns and leadership.,45,Lowest relevence: Lack direct ties to force gen/emp,43_lee_grant_lincoln_confederate,"['lee', 'grant', 'lincoln', 'confederate', 'sherman', 'union', 'war', 'jackson', 'jefferson', 'campaign', 'general', '1863', 'washington', 'army', 'president']"
Generational Dynamics in the Military , Focuses on millennial and boomer characteristics in the army.,46,Lowest relevence: Lack direct ties to force gen/emp,44_generation_millennials_millennial_generational,"['generation', 'millennials', 'millennial', 'generational', 'boomer', 'gen', 'baby', 'army', 'baby boomer', 'age', 'parent', 'millennial generation', 'work', 'characteristic', 'come age']"
