Topic,Count,Name,Representation,Representative_Docs
9,57,9_mobilization_mfgi_unit_mobilize,"['mobilization', 'mfgi', 'unit', 'mobilize', 'mfgis', 'requirement', 'army', 'deployment', 'reserve', 'civilian']","['mobilization operation capability gap pace item n china event conflict china possibility mobilization operation lsmo become reality reserve infantry regiment fill two capability gap immediately activation regard lsmo two gap lsmos need mobilization support force msf assist unit au force mobilization force generation installation mfgis expansion create cadre structure additionally use regiment capacity align force generation force pool component rearmm army reserve mission force army mobilization include activate part reserve component assemble organize army resource extend term service expand train six level mobilization reserve component range select mobilization model use past twenty year war iraq afghanistan total mobilization mobilization army reserve army national guard force critical half total army force reside two component army reserve army national guard unit mobilize mfgi purpose mfgi conduct soldier readiness process equipment issue train prior deployment past twenty year conflict due ability schedule deployment rotation army able process soldier per year use ten mfgis peak army maintain two active mfgis present mobilization occur', 'current mobilization force generation installation mfgi plan identify contingency installation handle increase volume mobilization operation may require however need significant investment mfgi meet force deployment data requirement combatant commander rand study identify desirable recommendation improve readiness reserve force preemptive investment couple early mobilization sequence priority reserve unit study clearly suggest bias toward focus train contingency source readily deployable unit reserve component greatly increase ability contribute early phase future combat operation fund constraint imperfect information mobilize key unit may make train readiness reserve force preemptive investment couple early imperfect information mobilize key unit may make train source recommendation impractical implement paper propose department defense address six strategic need ensure efficient mobilization operation credible mobilization force generation installation department defense army total force maximize effective use reserve component mobilization authority level mobilization leverage alternate mobilization sit include home station mobilization mobilization hybrid approach operate functional mobilization force generation installation expand civilian hire contract increase continuity reallocation deployable readiness invest mobilization force generation installation exist army total force infrastructure improve container management better meet mobilization operation requirement win fight fight improve nation ability mobilize deploy force rapidly critical meet combatant commander mission requirement nation ability achieve require national objective army must anticipate change operational environment contest homeland well area combat operation', 'current mobilization force generation installation mfgi plan identify contingency installation handle increase volume mobilization operation may require however need significant investment mfgi meet force deployment data requirement combatant commander rand study identify desirable recommendation improve readiness reserve force preemptive investment couple early mobilization sequence priority reserve unit study clearly suggest bias toward focus train contingency source readily deployable unit reserve component greatly increase ability contribute early phase future combat operation fund constraint imperfect information mobilize key unit may make train readiness reserve force preemptive investment couple early imperfect information mobilize key unit may make train source recommendation impractical implement paper propose department defense address six strategic need ensure efficient mobilization operation credible mobilization force generation installation department defense army total force maximize effective use reserve component mobilization authority level mobilization leverage alternate mobilization sit include home station mobilization mobilization hybrid approach operate functional mobilization force generation installation expand civilian hire contract increase continuity reallocation deployable readiness invest mobilization force generation installation exist army total force infrastructure improve container management better meet mobilization operation requirement win fight fight improve nation ability mobilize deploy force rapidly critical meet combatant commander mission requirement nation ability achieve require national objective army must anticipate change operational environment contest homeland well area combat operation']"
10,52,10_army_arng_reserve_readiness,"['army', 'arng', 'reserve', 'readiness', 'ac', 'component', 'combat', 'usar', 'operation', 'policy']","['report documentation page war afghanistan wind resource shrink army reserve component rc utilize le operational overseas mission subject another round sequestration army force make drastic cut negatively impact ability support security interest thesis paper contend army senior leader rethink strategy continue use rc operational strategic reserve order maintain readiness capability capacity le cost paper present strategic consideration senior leader think balance force mix response budget constraint increase demand future force around globe strategic consideration advocate continue use rc operational mission help army cut cost meet global demand force paper also make five recommendation could help army develop total force culture better integrate rc ac force mix sequestration budget cut operationalizing reserve total force policy strategic consideration continue operational use reserve lieutenant colonel brett criqui unite state army adrian wolfberg department national security strategy project adviser abstract title strategic consideration continue operational use reserve key term force mix sequestration budget cut operationalizing reserve total force policy war afghanistan wind resource shrink army reserve component rc utilize le operational overseas mission subject another round sequestration army force make drastic cut negatively impact ability support security interest', 'total force ac rc provide operational capability strategic depth meet defense homeland security currently discussion washington various level proportional reduction three component austere proposal may reduce national defense capability put homeland security emergency domestic response risk time different approach capitalize cost effectiveness national congress decision reduce active army end strength require army national guard arng fill readiness loss remain healthy vibrant force capable sustain involvement overseas research focus research paper provide solution current arng operational obstacle direction future national guard role support combatant commander state governor national guard strategic reserve throughout cold war war period reserve component unite state organize strategic reserve primary conceptual mission expand arm force rapidly event time frame arng require long mobilization timeline order build readiness necessary respond national security crisis arng inability mobilize deploy unit efficient timeline make individual soldier augmentation norm vietnam arng unit remain competent traditional effectively natural catastrophe event february general creighton abrams army chief staff testify house arm service committee general abrams express key point support need improve rc readiness support strong security posture army maintain peacetime deterrent force structure sufficient size quality readiness use manpower efficiently', 'fund project allocate army base operate budget continue deployment arng usar unit support operational overseas mission many advocate arng usar worry without rc involvement operational overseas mission army may reduce budget last decade war army go great length ensure better access rc development new rotational deployment policy include authority title section secretary army call rc soldier support preplanned name mission requirement combatant currently authority combatant commander ccdrs call rc unit support unplanned operation around therefore army senior leader choose instead resource rc strategic force rely ac overseas contingency steady state historically rc unit allow mobilize authority presidential take time get mobilization authority still valid utilize time major war crisis federalize rc mobilization authority new authority streamline process help make rc responsive contingency without fund mobilization authority rc afford opportunity conduct operational overseas mission could negatively impact readiness equipment modernization retention place stress already overstretch ac force second another major factor must ignore senior leader critical capability equipment rc longer exist ac due recent transformation effort force structure currently rc percent transportation capability percent engineer percent medical capability military police logistics enable capability example army light medium truck company reside rc additionally percent army aviation man unman aircraft reside limit amount troop move air ccdr area responsibility aor early surge forward presence operational requirement present another problem longer ignore army senior leader much army combat combat support capability conduct operational mission resident rc rc army connection america gen abrams know take first step integrate ac rc initiation total force policy']"
11,52,11_force_domain_warfare_army,"['force', 'domain', 'warfare', 'army', 'operation', 'russia', 'mdo', 'artillery', 'fight', 'area']","['modernization priority focus current army capability gap relation potential adversary precision fire order regain dominance range lethality target acquisition next generation combat vehicle enhance soldier protection increase mobility make force lethal enemy future vertical lift restore vertical lift dominance next generation reach protection lethality agility mission flexibility army network communication system intuitive mobile expeditionary use fight cohesively contest cyber electromagnetic environment air missile defense ensure future combat formation protect modern advance air missile deliver fire include drone soldier lethality holistic series capability span fundamental include shoot move communicate protect system provide relevant capability whether joint force conduct offense defense stability task assume doctrine support requirement also address operate across land air cyber domain well electromagnetic spectrum reflect balance approach predominant army operate environment however army must test employ creative unscripted way honestly evaluate effectiveness face advance adaptive adversary conclusion army vision future operate environment consist adversary contest joint force domain competition conflict present challenge situation mdo predict require system doctrine integrate advance technology account adversary similar capability one opportunity observe army operate chance observe learn allow adversary develop new strength creative way exploit army joint force vulnerability russia provide example employ capability place like ukraine give army chance learn adversary strength weakness china present opportunity therefore increase army risk surprise reliance accurate intelligence predict chinese force might operate', 'national level document fill language description refocus center unite state emerge operational environment competition especially reference china russia central idea operation publish army force element joint force conduct operation prevail competition necessary army force penetrate enemy access area denial system exploit resultant freedom maneuver achieve strategic objective win force return competition favorable term biggest update since win complex world concept base evolve understand operational environment unite state great power competition china russia prior rise competitor unite state arguably single super power world general milley foreword army operation state technology competitive rise china russia change character warfare early part century china russia synthesize technology forward deploy capability fight unite state multiple layer domain warfare evolution competitor drive need army member joint force since act reorganize department defense align joint force army greatly improve ability interoperable part joint force war afghanistan iraq syria provide countless opportunity army interoperable domain operation concept truly evolution warfare army part joint force longer interoperable must interdependent within synergistic joint force order effectively compete need defeat china russia', 'army civilian reduce risk operation word abstract world change rapidly become competition space economic political military dominance emerge new alliance globally morph shape security unite state army part joint force land component within environment must adapt force consist military dod civilian one team operate seamlessly within competition national defense strategy discus competition primarily china russia advancement technology battle narrative increase threat weapon mass army doctrine publication adp describe military operation move along competition continuum cooperation war discus relationship economy political tension continual struggle unite state russia china iran north korea counter threat effectively army must maximize mind army prioritize people first assume prominent role mdo operational level war include division see figure competition continuum require capability create continuous readiness posture physical domain operation begin alert military force deployment deploy combatant command area mdo require constant bct airborne division immediate response force irf create shockwaves information environment activity bct level theater cyber domain recognize spike cyber activity anticipate adversarial reaction allow tactical adjustment continuously monitor activity anticipate area operation brigade enter adversary use cyber domain weapon irf gain access electronic system future exploitation track location target mission command system failure critical irf use cyber operation advantage way exploit adversary vulnerability time way gain effect advantageous one way enable operational level unit like airborne division mdo rethink mission command mdo adp discus mission command system concept support operation facility support concept provide another layer network redundancy increase capacity austere network commander unit ranger regiment demonstrate base operation facility provide increase capacity commander provide example enhance mdo capability applicable division bct level ranger regiment currently operate mission command capability provide capacity commander secure army ability attract sustain retain cyber network engineer intelligence professional become challenge competition increase private sector personnel posse technical skill leverage emerge technology require mdo army continue fight acquire talent need field capable lethal force compete require fight win mdo army challenge future align military member duty soldier perform tactical level shift dacs best serve support another challenge army sustain talent emerge highly technical position competition private technical position skill provide higher salary le risk life balance civilian sector']"
12,45,12_replacement_leader_army_commander,"['replacement', 'leader', 'army', 'commander', 'plan', 'combat', 'develop', 'command', 'basic', 'rotation']","['also necessary army instill mission command philosophy facet train leader train system train must change decentralize operation define recent war afghanistan iraq portend army continue operate decentralize manner future conflict however army predilection centralization result paradigm make train drive rather activity exacerbate decade plus employ road war train army practice relentlessly add number mandatory train requirement make virtually impossible unit fulfill train obligation army effectively eliminate discretionary time commander pursue train example army war college study determine army commander available day complete requirement leave zero time decentralize discretionary train design subordinate army need exercise restraint requirement impose army also need change approach train give commander freedom action develop realistic challenge train scenario grow leader think independently capable develop creative solution complex problem likely face future conduct operation volatile uncertain complex ambiguous environment however disparity officer noncommissioned officer view effectiveness current example battalion company commander hold favorable view train challenge realistic platoon sergeant squad leader feel train sufficiently one recommendation offer casal commander seek greater input junior leader develop realistic challenge train commander cultivate trust build team cohesive incorporate junior leader input unit train plan however commander must also ensure train program one alarm find casal leader feel train activity positive impact leader indeed army leadership manual state mission command require leader receive train', 'period group innovative senior leader lead revolution train result tactically operationally capable force world ever see page follow examine revolution train force follow explanation army currently generate report train readiness frame discussion recently enact army directive build train readiness examination mission command incorporation army culture serve example best implement directive change army enable evaluate report train readiness follow end vietnam war army examine train process begin series improvement lead unit capable tactical operational success army experience desert storm key problem train old army train program atp evolve since world war atp identify subject teach amount exposure time require soldier consider soldier complete prescribe time army deem train send unit train adapt time train vast number soldier receive minimal level train system also rely selective service provide personnel train end draft combine grow capability gap soviet union warsaw pact cause army senior leader determine better train mean address revitalize train development implementation train doctrine command establish army train evaluation program arteps program collective train', 'without practical train train ready although resourcing le train operation still require army build sustain formation train soldier enhance initiative achieve mdo proficiency army reserve leader focus grind combat operation lsgco complement improve total army capability despite place additional train readiness requirement already strain force however army reserve must overcome constraint resource train time collective train achieve mdo help overcome one constraint collective train army reserve consider establish lite combat train center ctc train combine establishment army reserve ctc facilitate combine arm train regular army army national guard unit focus mission command train capability shortfall army reserve provide c combine arm train regular army army national guard unit focus mission command train capability shortfall army reserve provide c c soldier much excellent experience actual combine arm additionally army reserve ctc would enhance ability support battle mdb entail collaborate integrate enablers sustainment force army reserve finally army identify army reserve unit actual ntc jrtc rotation ctc rotation would provide excellent venue mission rehearsal execute action require support lsgco mdo mdb build single multiple lite ctc also source strategy upgrade mission command equipment perhaps use national guard reserve equipment appropriation fund support individual soldier leader development train similarly army reserve could mirror army national guard exportable combat train center program small mobile train team serve primary vehicle train unit leader understand mdo could prepare unit lite ctc rotation']"
13,44,13_brigade_bcts_battalion_army,"['brigade', 'bcts', 'battalion', 'army', 'readiness', 'combat', 'deploy', 'infantry', 'operation', 'division']","['arng bcts build readiness model highest level readiness achieve prepare year py train year unit train statutory day achieve commander focus train activity build lethal squad improve mission command capability battalion level activity include squad level situational train exercise stx mount dismount exercise lfx command post exercise cpx section level gunnery differ ibcts abcts ibcts complete train year complete train year build readiness py unit sustain increase maneuver gunnery mission command capability culminate arng exportable combat train capability xctc rotation forscom arng xctc train program record much like army combat train center ctc program design build readiness xctc rotation unit resourced complete mobilization personnel equipment emergency deployment readiness exercise edre stx cpx platoon gunnery order build platoon readiness require strategy edre include reception stag onward movement integration rsoi process simulate exhaustive task transition personnel equipment arrive theater operationally viable train year culminate ctc rotation unit maneuver battalion level live oppose force also conduct evaluate exercise forscom ctc program remain cornerstone integrate strategy build train proficient unit leader conduct operation part joint force ready win complex unit culminate year describe ctc rotation enable army force provider assessment unit ability successfully deploy support program operation', 'today ctc rotation require brigade combat team simultaneously defeat force neutralize grow insurgency integrate interagency partner train partner fledgling military cooperate organization protect accord colonel paul calvert commander operation group biggest difference decisive action rotation rotation run complexity enemy well guerrilla insurgency criminal difficult task even highly train unit lesson army learn afghanistan iraq identify case date approach allow combat brigade battalion maintain ability train combine arm maneuver cam wide area security task concurrently avoid pitfall experience army preparation peacekeeping operation bosnia kosovo combat unit separate cam train period unit require much six month train specific task require balkan require another nine month recover achieve capability fight major theater current train model raf still separation ctc rotation theater specific train one argue time regional specific train integrate decisive action train event result net reduction amount train time bct raf potential train efficiency possible regionally affiliate base defense strategic guidance army strategic guidance u longer afford develop train scenario conflict army tailor train strategy world soviet threat today army adapt train dynamic world use regionally align force concept fulfil u grand strategy although train strategy predict certainty future deploy environment raf provide much faster adaptability base soldier familiarity case expertise pre april train model prior invasion iraq division brigade battalion develop train strategy around higher headquarter annual train guidance subsequent quarterly train guidance within train document leader every echelon could discern command priority year brigade level collective train annual individual train requirement derive army regulation commander utilize document synchronize resource base primetime train management system system prioritize subordinate unit cyclically base green amber red designation green priority unit train red unit charge support day day function base amber back red cycle unit second priority two year command tour brigade battalion commander conduct least one series external evaluation exevals platoon brigade follow ctc rotation period installation support red cycle limit collective train sustain warfighting skill collective train include live train company level simulation train battalion brigade level', 'bcts increase sustain readiness maneuver gunnery culminate train year arng program record call exportable combat train capability xctc rotation task complete xctc rotation include note standard requirement code src identify specific unit type toe number deployment readiness exercise stx platoon gunnery along mission command exercise headquarter element sbcts conduct train year abcts conduct train year culminate rotation national train center ctc rotation unit complete proficiency task battalion level maneuver fire oppose force ctc program remain cornerstone integrate strategy build proficient train joint ctc rotation day exercise provide assessment bct conduct combat operation available year unit deploy available year revert srm provide way increase readiness bcts']"
14,41,14_reserve_army_operational_unit,"['reserve', 'army', 'operational', 'unit', 'train', 'readiness', 'mobilization', 'guard', 'require', 'rc']","['readiness standard achieve use additional personnel current objective standard brief national commission future army define application standard across total brief departure previous standard define subjective standard replace subjectively measure accord unit assign mission level four train rat determine level train proficiency le unit train measure four area mission essential task proficiency qualification collective exercise train day army reserve unit receive train ready mobilization standard rat score require army reserve require objective standard readiness member total force personnel train resource order army reserve meet readiness requirement army operational force additional personnel train resource require general milley highlight need army reserve army posture statement support nation military address army require significant ready force operational use army reserve war near end statement warn additional legislation approve budget control act fund level return fiscal year would limit ability army generate readiness cause strategic risk accord general milley army require army reserve support sustainment combat operation use army reserve wartime support best congress provide legislation support fund additional personnel accept general milley call army reserve support active army lieutenant general lucky chief army reserve annual posture statement reiterate dedication army reserve provide capability strategic depth total army joint force support unite state national interest chief army reserve explain previous rotational model readiness unit army reserve longer generate significant surge capacity short notice mobilization may sometimes therefore build readiness capability currently assign force along army reserve unit train objective standard prioritization resource ensure early entry enabler formation participate army joint train event however general milley statement return budget control act occur fiscal year army reserve receive risk ability generate readiness win nation war support active risk reduce available fund support army reserve readiness align chief staff army readiness priority current available resource include personnel fund support army reserve unit train standard must increase', 'report documentation page maintain operational reserve army critical meet demand army order maintain operational reserve train construct utilization army national guard army reserve must change increase train time along predictable use reserve way maintain operational reserve army achieve operational readiness implementation train mobilization cycle new cycle maintain current train model four year fifth year train additional day mobilize day upon completion validation train unit support mission somewhere world model provide stability predictability readiness exception unit require sustain operational reserve force mobilization train cycle predictable deployment readiness army national guard maintain operational reserve support total army concept word abstract maintain operational reserve army critical meet demand army', 'popular opinion within dod suggest answer operational army reserve force capable mobilize deploy minimal time necessary provide immediate advantage active component must remain operational force retire lieutenant general jack stultz former commander unite state army reserve command say expect army reserve unit soldier achieve maintain require level operational readiness need respond rapidly without long period train unforeseen force force operational force active army fiscal constraint downsize increase demand capability help validate need operational army reserve operational force force make readily available sustain period plan strategic reserve construct operational force resourced across unit incorporate plan train routine military mission use augment reinforce ac resourced operational force army reserve invaluable provide interoperable enable support joint multinational operation success value offer army reserve iraq afghanistan lead consternation newly realize capability rc commission national guard reserve cngr publish report january strongly recommend recognize resourcing rc operational force finish department defense dod issue operational force concept policy directive manage reserve component operational policy highlight quadrennial defense review underscore necessity rc force maintain knowledge skill ability perform operational capacity along train adequately resourced ac cngr determine army would unable sustain future operation without extensive involvement rc recommend dod formally create sustainable adequately resourced operational force document reflect need maintain army reserve force man train equip future support active component force must ensure army reserve necessary unit structure develop cohesive unit part army total force concept unit structure best way integrate strength expertise component army one highly capable fight force']"
15,34,15_capability_army_artillery_integrate,"['capability', 'army', 'artillery', 'integrate', 'command', 'strategic', 'missile', 'interoperability', 'field', 'management']","['theater ffahq need balance physical protection air defense concealment deception survivability move retain sufficient combat power meet joint force commander target objective additionally theater ffahq need balance protection measure requirement maintain window fire capability provide missile fire direct integrate air task order conclusion recommendation end fiscal year army field initial battery hypersonic weapon capability provide joint force first fire capability beyond thirty year lrhw mrc capability lrfb mdtf structure provide fire control represent significant advancement build back fire enterprise theater level system present many opportunity advantage policymakers joint force commander competition conflict present multiple dilemma adversary theater army ability integrate new capability joint force translate strategic objective tactical action battery level key effective employment theater ffahq provide target expertise require integrate strategic fire joint target process enable capability theater ffahq proper authority structure provide army pacific commander general flynn refer four requirement fire maneuver pacific protection collection theater fire command europe command pacific best position within respective theater army command structure perform function ffahq organization however require additional fire control target plan structure perform function theater frame recommendation summary recall specific action strategy provide address state political escalation host nation retaliation perceive threat strategic capability deployment specific recommendation provide diplomatic information economic action manage adversary perception prior deploy strategic capability specific action relate situation drive specific policy objective dynamic situation actor involve', 'accredit agency recognize secretary education council higher education accreditation information title missile fire consideration theater army integration author col paul lashley ltc andrew hercik abstract unite state withdraw nuclear force inf treaty russia since army undertake drastic change indirect fire capability organizational structure maintain pace ultimately outpace competitor like china russia paper focus identify understand area friction theater army level employ strategic fire system across competition continuum frame challenge provide recommendation paper briefly describe attribute capability hypersonic weapon lrhw capability mrc next provide strategic context along weapon system potential contribution additionally research describe force field artillery headquarter ffahq role responsibility examine fire headquarter organization provide several recommendation specific force structure adjustment area target fire control plan enable headquarter better perform role function theater ffahq end fiscal year army field initial battery lrhw mrc provide joint force first fire capability beyond system present many opportunity advantage policymakers joint force commander competition conflict key word theater fire command command task force force field artillery headquarter hypersonic weapon missile fire consideration theater army integration unite state withdraw nuclear force inf treaty russia treaty prohibit fire system range capability since army drastically change indirect fire capability organizational structure maintain pace ultimately outpace competitor like china russia', 'accredit agency recognize secretary education council higher education accreditation information title missile fire consideration theater army integration author col paul lashley ltc andrew hercik abstract unite state withdraw nuclear force inf treaty russia since army undertake drastic change indirect fire capability organizational structure maintain pace ultimately outpace competitor like china russia paper focus identify understand area friction theater army level employ strategic fire system across competition continuum frame challenge provide recommendation paper briefly describe attribute capability hypersonic weapon lrhw capability mrc next provide strategic context along weapon system potential contribution additionally research describe force field artillery headquarter ffahq role responsibility examine fire headquarter organization provide several recommendation specific force structure adjustment area target fire control plan enable headquarter better perform role function theater ffahq end fiscal year army field initial battery lrhw mrc provide joint force first fire capability beyond system present many opportunity advantage policymakers joint force commander competition conflict key word theater fire command command task force force field artillery headquarter hypersonic weapon missile fire consideration theater army integration unite state withdraw nuclear force inf treaty russia treaty prohibit fire system range capability since army drastically change indirect fire capability organizational structure maintain pace ultimately outpace competitor like china russia']"
16,33,16_train_unit_readiness_requirement,"['train', 'unit', 'readiness', 'requirement', 'army', 'rc', 'reserve', 'sergeant', 'ctc', 'annual']","['step station train also enable unit prepare train higher level get mobilize arrive mobilization train center usar unit train metric define need achieve desire readiness level challenge fit requirement train model tucker first army commander acknowledge need army reserve need day train year order truly operational force firmly believe go maintain army reserve operational reserve go give day train day year day annual train one weekend month enough also accompany challenge think opportunity u focus prioritize train day unit prepare mobilize political military leader know need train day army barely afford nonetheless solution constrain budget chief staff general milley encourage congress reallocate fund provide army reserve additional train money pay increase train day army reserve army reserve reliable army component appear highly solution shore total army force charge execute national military strategy constrain budgetary limitation', 'demand force day per year unit standard train year consist drill day unit readiness mandatory train consecutive annual train event collective evaluation train year equate approximately drill day train collective evaluation either xctc ctc note neither schedule provide arng unit necessary time satisfactorily meet cusr objective rat requirement even ignore myriad mandatory train impose concurrently unit train year study conclude standard ac company day available train per year however company day require train accomplish readiness mandatory requirement delta equate train deficit per year ac since readiness mandatory train requirement increase yet calendar remain national commission future army ncfa quantify mandatory train requirement prescribe ar army risk mitigate army staff recommend army strategic leader follow four action prioritize unit train enable risk management create predictable train environment reset mandatory train apply implementation train requirement align readiness requirement versus train day ac army analyst attempt solution rc', 'role expansion increase commitment rc generate policy concern reform necessity order maintain current operational reserve capacity capability current rc unable sustain operational reserve current train model construct date back militia act also know efficiency militia act amend increase amount train period annual train day stay proficient myriad task mission rc member attend schedule drill train period equivalent hour per period total full train day fiscal year give full day work furthermore law require rc member serve active duty le annual train day usar arng respectively make total train day statutory model rc operational unit significant hinder rc ability generate necessary readiness compare like unit readiness requirement however rc significantly le time resource accomplish clear disadvantage rc term generate level readiness reside train instance armor brigade combat team abct could take anywhere train day complete collective train requirement become available include culminate train event national train center total allocate ac train day account field type train account individual collective train administrative virtual constructive create prioritization challenge rc furthermore reflect flexibility ac train calendar shift adjust accommodate train event need']"
17,31,17_sfa_advisor_operation_brigade,"['sfa', 'advisor', 'operation', 'brigade', 'army', 'military', 'combat', 'formation', 'vanguard', 'msas']","['formation distinct conventional organization uniquely recruit train equip serve function sfabs conduct operation broad spectrum environment competition conflict accord sfab doctrine formation allow army effectively simultaneously set theater shape security environment across range military operation within joint interagency intergovernmental multinational jiim leader sfab formation work conjunction across range military operation within joint interagency intergovernmental multinational jiim leader sfab formation work conjunction department state representative foreign area officer special operation personnel national guard regionally align force personnel expand access create option senior military civilian leader sfab characteristic align cjcs global integration requirement make potential mean achieve desire end sfab doctrine national security document nd nm describe end way identify sfabs mean furthermore sfab doctrine describe formation acknowledge perfectly align strategy identify need address shortcoming nd current doctrine invalidate current practice sfabs deploy operate clearly define need develop new sfab employment concept sfabs represent creative mean achieve end way global integration', 'ambassador chief mission facilitate invitation combatant commander auspex security cooperation partner nation ambassador agreement establish law rule military personnel conduct sfa operation outside joa sfabs require specific boundary area operation therefore joint leader focus desire effect regardless whether joa exist term make sfabs offer senior joint force commander wide degree access achieve global integration objective second contribute rapid sfab adaptability allow task organize require operate various echelon sfab culture one continual task organization incorporate advisor need provide knowledge experience develop foreign security force across warfighting function mission necessitate additional logistic advise expertise example exceed team organic capability sfabs integrate specialty skill advisor outside unit additionally sfabs offer team capable operate echelon two level higher example sfab battalion capable advise partner brigade corp', 'army immediately develop aside primary purpose build partner capacity army cite four ancillary advantage create dedicate organization commit security cooperation advantage strengthen underlie premise create sfab execution order underscore strategic necessity help generate buy senior leader across army first sfab preserve readiness brigade combat team ability conduct traditional combat operation otherwise term decisive action military advisor would temporarily detail brigade previous year increase cohesiveness sfab maintain integrity brigade combat team second advantage sfab ability rapidly change force structure support operation beyond security cooperation since sfab organize leadership framework conventional infantry brigade combat team capable transition rapidly traditional decisive action mission provide army leadership capability flexibility respond contingency dynamic security third advantage sfab provide geographic combatant commander additional force shape security sfab bridge capability gap special operation force regionally align rotational brigade combat team cultural specialization issue continuity increase situational understand']"
18,31,18_reserve_support_army_mobilization,"['reserve', 'support', 'army', 'mobilization', 'unit', 'state', 'soldier', 'duty', 'reservist', 'section']","['reserve force policy board report state best way use reserve component use title u code section authority enhance readiness increase capacity operational support report recommend unit member mobilize use preplanned mobilization support authorization service budget sufficiently continue mission support sentiment echo national guard bureau white paper recommend increase use title u code section campaign meet combatant commander frequent use mobilization authority reserve force could lessen signal escalation crisis provide increase readiness capability reserve type mission increase plan coordinate potentially fund benefit participant figure authority discus thus far focus mobilize deploy force fight win nation war distant battlefield however force could also homeland defense formation secure strategic support area task expand battlespace must plan accomplish across competition continuum national guard dual role federal state uniquely suit mission title u code provide many additional authority federalize reserve component force augment active force national guard second component army total force however unlike active component national guard operate title u code authority federalize', 'reserve component force across usar arng mobilize authority operation noble eagle iraqi freedom endure freedom new dawn inherent president unite state invoke presidential reserve title u code section persian gulf war haiti bosnia iraq several occasion last authority allow involuntary mobilization select reserve include individual ready reserve reserve significant increase active force structure percent select reserve number soldier could use regularly improve reserve component soldier experience mobilization process practice could also support force readiness model support modernization readiness provide predictability force preplanned mobilization support reserve preplanned separate provision national defense authorization act ndaa codify title u code section preplanned mission support combatant command mission cost include service budget army service currently use authority numerous mission include terrorism partnership africa command air defense northern command support operation southern command airlift central command authority cover title u code section enhance reserve component unit ability opportunity may also exist optimize force employment use authority title u code section note earlier president use authority begin persian gulf war remain effect president need augment force authorize secretary defense call reserve augmentation activity create risk unintended escalation crisis adversarial perception force mobilization reserve component force', 'reserve component force across usar arng mobilize authority operation noble eagle iraqi freedom endure freedom new dawn inherent president unite state invoke presidential reserve title u code section persian gulf war haiti bosnia iraq several occasion last authority allow involuntary mobilization select reserve include individual ready reserve reserve significant increase active force structure percent select reserve number soldier could use regularly improve reserve component soldier experience mobilization process practice could also support force readiness model support modernization readiness provide predictability force preplanned mobilization support reserve preplanned separate provision national defense authorization act ndaa codify title u code section preplanned mission support combatant command mission cost include service budget army service currently use authority numerous mission include terrorism partnership africa command air defense northern command support operation southern command airlift central command authority cover title u code section enhance reserve component unit ability opportunity may also exist optimize force employment use authority title u code section note earlier president use authority begin persian gulf war remain effect president need augment force authorize secretary defense call reserve augmentation activity create risk unintended escalation crisis adversarial perception force mobilization reserve component force']"
