Filename,Document,Topic,Document_Length
doc_AY2014_003_para_2_17.txt,engineer ulrich eidenschink become significant production method build model manufacture part piece could become part soldier central issue facility cif record transit one post another would also provide unit commander ability rapidly tool grip break deployment tactical train would nothing replication army produce contact glass individual soldier current centralize medical facility recommendation requirement replacement part future contract negotiation company provide equipment hardware army many company already process use manufacture process part component company already establish manufacture method ge intellectual property right requirement must incorporate future contract negotiation program record begin production regardless whether company begin develop computer aid design cad file replacement part incorporate requirement future contract army position rapidly incorporate innovative technology field environment could ultimately incur higher cost later date army seek get data question,8,127
doc_AY2014_004_para_3_18.txt,report documentation page equipment army field grow complex require hour train soldier master skill decay time require frequent refresher train amount equipment per soldier per unit also increase together three trend place increase train burden unit burden may force reduce time spend collective train make room increase task take shortcut equipment train new equipment may increase unit effectiveness much plan instance may even reduce problem particularly important resource fall army force structure fall current strategy call army unit proficient wider array task past decisive action stability operation build partner capacity,20,90
doc_AY2014_004_para_3_19.txt,across army last two decade equipment field grow complexity strain ability unit train standard army train doctrine command tradoc recognize problem recent trainability white paper note grow complexity system relate demand soldier major impact train institution unit complicate equipment replace turn increase train burden place unit institutional army second skill acquire train decay time add requirement periodic refresher train finally equipment density define quantity equipment per soldier also grow amplify impact first two trend reasonable outcome three trend either crowd collective train detriment unit effectiveness force commander across army take shortcut individual crew train equipment shortcut may lead user unable access full capability system additionally operator may damage equipment even injure soldier due improper use air defense fratricide operation iraqi freedom example risk,16,123
doc_AY2014_004_para_3_20.txt,first scenario inadequate time available train unit prepare test due press requirement result poor performance rife operator error situation evaluator difficulty determine real capability limitation equipment second scenario train unit receive time consider adequate materiel developer prepare test unit new gear would likely perform well performance level may positively influence acquisition decision quite possible actual operational unit real world time demand adequate time available train equipment result true realize performance equipment field something le lack process budget overall available train time increase likelihood service acquire equipment underperform field due inadequate train army present unit train requirement exceed time available commander make choice sometimes choose reduce time dedicate train individual crew use certain piece equipment,16,114
doc_AY2014_004_para_3_23.txt,approach may soon bear fruit although afatds increment yet complete test initial indication net course current jcids regulation require service include justify absence train key performance parameter kpp tradoc trainability white paper recommend expand train kpp include trainability army must use care take approach order accomplish requirement writer must estimate long take learn new system system design begin unlikely writer get exactly right likely risk set unrealistically difficult goal one easy meet fail incentivize designer improve trainability possibility requirement writer select poor trainability goal prove either unachievable unaffordable reasonable estimate achievable trainability goal might well estimate much engineer effort would require new system yet begin design work construct estimate much difficult likely significantly wrong,16,114
doc_AY2014_007_para_6_42.txt,able fly higher exist threat time utilize speed altitude avoid way fighter bomber aircraft develop deliver precision weapon high altitude thereby reduce susceptibility enemy air defense advance stealth reduce risk aircrew contest environment recently unman aircraft ability deliver lethal force via remote control base mile still deploy force require secure airfield accomplish takeoff land phase flight preponderance flight hour lethal strike able accomplish via satellite link continental minimize risk aircrew military force whereas earlier military option almost always involve risk death capture american service member risk largely disappear introduction new technology technological edge provide policy maker ability use lethal force without put boot grind thereby reduce risk associate death capture service member additionally political risk military option diminish technology couple host nation support,1,123
doc_AY2014_007_para_6_43.txt,recent public opinion poll abroad indicate overwhelm majority country oppose drone program country greater disapproval even tell fact country greater disapproval even tell fact three country oppose program survey include unite kingdom well india almost half population survey leadership public largely ignore international opinion since directly threaten ability conduct uav mission american indicate worry damage reputation result recent trend indicate disinterest international opinion may change driver change may public opinion rather need maintain access overseas base continue program consequently drone strike see noticeable decrease within past year public outcry pakistan result removal drone pakistani also pakistani prime minister sharif call end interestingly overall international public opinion seem use drone strike poll conduct federally administer tribal area fata provide additional insight tribal region focus disproportionate number drone strike base use terrorist safe resident fata overwhelmingly military pursue qaeda taliban region support pakistani military pursue objective fact fata resident survey evenly split use drone strike conduct pakistani result poll provide important lesson first goal may actually interest civilian live fata,1,168
doc_AY2014_007_para_6_46.txt,fact official pakistani number le half estimate give independent organization government increase percentage military force contain guard reserve effort increase tie society military address disconnect discus earlier increase percentage national guard reserve force relative active duty counterpart current military drawdown environment important part solution general odierno army chief staff request final ratio guard reserve force active duty base internal army would slight increase army guard reserve force approximately height combat brook institute produce study would cut deeper active component army preserve combat capability increase guard reserve force recommendation cut active component army add reservist reduce personnel cost peacetime maintain scalability grind war recommend army adopt find brook institute study additionally service conduct similar study effort move much force structure guard reserve feasible guard reserve prove ability successfully engage protract war transfer force guard reserve achieve multiple benefit first reserve component military member thoroughly embed throughout society combine civilian work military duty second larger force provide scalable cheaper alternative large stand military force,-1,162
doc_AY2014_011_para_10_79.txt,arng see opportunity important maintain skill gain last twelve year overseas contingency arng approach offer several distinct advantage first arng seek maintain long term habitual relationship intend allow repeat interaction unit since arng soldier remain within unit many year greatly increase opportunity soldier foster long term relation participate member relationship essential build regional expertise understand trust confidence partner serve foundation cultural awareness similarly army reserve actively pursue raf alignment october ltg talley chief army reserve introduce plan prepare provide initiative align ar unit need ccmds affect end reserve pursue formation army reserve engagement cell arec asccs help coordinate aspect plan train employment assign ar raf unit support raf concept shortfall regionally align force concept merit necessary focus train potential equip force regionally delineate primary area operation,4,126
doc_AY2014_011_para_10_81.txt,relationship essential develop strong bond mutual trust withstand pressure crisis situation addition raf develop detail internal understand relationship across military government agency understand critical obtain synergy government approach raf concept offer way build cadre cultural regional linguistic expert serve interpreter advisor sufficient number support deploy unit company level lastly raf facilitate development dedicate highly network team could serve internal line communication raf concept well intend expectation place concept unachievable unaffordable unit regionally align provide mission focus give current state raf conceptualization plan poorly prepare resourced develop sufficient competency give region country culture language reasonable expectation army ccdr could accurately predict next flashpoint erupt sufficient time develop expertise fact upfront investment skill especially language skill expensive time consume proposition,4,118
doc_AY2014_011_para_10_82.txt,would include uct personnel specialize unit would serve embed element host nation organization sof military transition team police transition team provisional reconstruction team etc national theater strategy change response operational environment ensure properly size force highly skilled personnel available meet anticipate need merge resource dod agency ensure adequate number personnel available even time resource constraint downsize ucts would provide efficiently size largely organization agency service would work isolation debilitate austerity ucts would organization clear organizational report structure country ambassador gcc dod uct would compose uct headquarter collocate proximity responsible gcc smaller uct forward footprint would operate proximity embassy uct forward would work team chief military attaché mission uct headquarter would matrixed support uct forward direction,2,115
doc_AY2014_011_para_10_83.txt,uct member also call upon use unique skill facilitate rudimentary language cultural awareness history familiarization train uct member could also facilitate unit language train coordinate dliflc tool like language survival kit interactive language cultural skill train dvd request language mobile train team ideally time allow uct member move forward perform deployment site survey visit assign uct headquarter uct forward reaffirm relationship larger support uct team renew foreign relationship host unit support preferably key member deploy raf unit would join opportunity meet key people organization gain improve situational awareness prior unit actual deployment opportunity conduct site survey visit situational dependent base time resource available prior unit actual deployment highly desire ensure inside line communication understand fully operational within uct structure behind scene member uct headquarter uct forward staff would perform plan coordination ally element host nation ensure aspect exercise actual deployment properly plan role uct primarily serve liaison gcc staff host nation,4,151
doc_AY2014_016_para_15_112.txt,report documentation page word count army aviation restructure initiative ari new idea organize army aviation provide modernize ready tailor aviation support grind force commander meet strategic guidance maintain manageable risk ari eliminate two fleet legacy aircraft restructure active reserve component remove attack aircraft reserve replace blackhawk transport aircraft active force result standardize combat aviation brigade active duty aviation brigade reserve serious opposition ari army national guard congress numerous risk associate implement ari maintain readiness reversibility stakeholder act self interest shortage attack arm reconnaissance asset risk manageable leave ari best course action fiscally constrain environment army aviation restructure future colonel kelly hines unite state army colonel donald galli unite state army war college command group project adviser abstract title army aviation restructure future key term army aviation restructure army aviation restructure initiative ari new idea organize army aviation provide modernize ready tailor aviation support grind force commander meet strategic guidance maintain manageable risk,1,152
doc_AY2014_016_para_15_113.txt,team shadow grey eagle unman aerial system uas interim solution arm aerial scout active duty attack reconnaissance squadron within creek currently function primary train aircraft new aviator augment model aircraft require replacement service life extension program program memorandum furthermore single engine trainer force use dual engine aircraft field army transfer nearly active army lakota helicopter unite state army aviation center excellence fort rucker alabama procure additional round train airframe replace next generation glass cockpit train current fund level approach enable army national guard retain aircraft general support requirement well ongoing border security move provide viable dual engine train aircraft remove two legacy fleet divestiture aircraft leave army four primary model aircraft combine restructure discus plan result essentially monetary growth program objective memorandum term equip train sustain army major aspect ari reduction reorganization force structure personnel equipment army downsize accord quadrennial defense review current force soldier decrease army national guard continue downsize high soldier furthermore army reserve reduce army intend cut seventeen brigade combat team bcts active component bring total number basically align ten percent reduction active army bcts percent reduction currently aviation brigade active component reserve component seven different command structure,1,191
doc_AY2014_016_para_15_114.txt,addition one cab worth equipment maintain korea rotate unit u army europe longer cab cab able support habitual rotation parent division brigade combat team caveat change composition brigade combat team army announce june ten brigade combat team base unite state would reorganize end fiscal year however part reorganization chief staff army general raymond odierno state bct add third maneuver battalion additional engineer fire capability armor infantry bcts order make lethal flexible agile order keep force structure line end strength reduction reorganize bcts bcts inactivate bcts reinvest soldier equipment support personnel remain overall number bcts reduce size remain bcts increase average soldier vice chief staff army general john campbell say change brigade make remain bcts capable ability make brigade capable get rid lot headquarter headquarter tooth tail go,19,127
doc_AY2014_016_para_15_115.txt,provide organize arm discipline militia govern part may employ service unite state therefore one two primary mission national guard support state requirement respond civil unrest natural disaster typically require national guard unit provide humanitarian relief search rescue medical aid national guard aircraft particular seldom never call upon use force attack helicopter simply need domestic situation furthermore combat operation require intensive train train increasingly difficult accomplish active reserve force recently point major general kevin mangum budget cut impose sequestration fiscal year cause percent reduction train across army bring helicopter unit flight hour per crew per month barely enough maintain collective proficiency complex maneuver involve half dozen helicopter reserve component force six hour per crew per month equate right word national guard currently ability maintain combat fly proficiency mobilize level train lend support mission far optimal ready function direct combat,18,138
doc_AY2014_016_para_15_116.txt,risk army accept give budget available secretary defense donald rumsfeld tell troop kuwait know go war army army might want wish later time army aviation senior leader need clearly convey concern senior leader come surprise reverse course become necessary third risk stem political self interest include differ third risk stem political self interest include differ view active reserve component member congress best structure total army regular army want active force arng want prevent loss reserve component,10,76
doc_AY2014_016_para_15_117.txt,army aviation free cut say cut scalpel butcher knife believe right force consist one active duty cab per active division train fund level maintain proficiency immediate combat deployment cab combine focus reserve component aviation brigade serve combat service support role ensure army aviation poise support future fight chairman joint chief staff articulate well assessment qdr strategy balance end way mean national objective operational concept resource available u clearly qdr address fact foreseeable future department defense fewer mean apply defend national security interest end fix mean decline therefore imperative innovate within way defend ari clearly support general dempsey strategic guidance sustain modernize fleet decline active army fleet eight percent loss army national guard result active reserve component aviation force mix result better capable formation able respond contingency home ari innovative way use diminish mean reach end provide modernize ready tailor aviation force able provide adequate capability grind force commander meet intent strategic guidance manage risk best solution available give today environment fiscal constraint,1,162
doc_AY2014_021_para_20_150.txt,report documentation page project department defense dod budget cut fiscal law reshape military change strategic role department defense dod dod experience dramatic shift fight win nation war deter future war prevent adversary hostility build partner capacity abroad conduct security force assistance sfa support geographic combatant commander gcc campaign plan total force effort due pending army force structure drawdown fiscal benefit maintain army national guard competency interdependency exist way mean support army realignment force raf gcc campaign plan interdependence landpower force across component capability must exploit build partner capacity friend partner function wff engagement influence friend adversary support national interest army national guard interdependency realignment force lieutenant colonel kevin stewart unite state army george wood iii department command leadership management project adviser abstract project department defense dod budget cut fiscal law reshape military change strategic role department defense dod dod experience dramatic shift fight win nation war deter future war prevent adversary hostility build partner capacity abroad conduct security force assistance sfa support geographic combatant commander gcc campaign plan total force effort due pending army force structure drawdown,10,177
doc_AY2014_021_para_20_152.txt,sfa conduct many level continuously officer minister defense individual soldier security force officer sfa include institutional organizational operational level task include generate new military police force advise assist train force institutional level staff collective individual level equip formation build rebuild infrastructure as capability throughout process critical task well train assist tactical level include embed host nation force assume risk often partnership direct contact engagement combat operation part unify action sfa restrict active title force organize principle raf way dod provide land power force combatant commander corp division headquarter provide bulk joint man document provide capability joint task force capable headquarter necessary enough capability capacity deliberate crisis action operation occur depend requirement army unit assign allocate service retain combatant align srca,17,120
doc_AY2014_021_para_20_153.txt,predictability operational readiness critical timeliness responsiveness two assumption make army operate concept aoc relevant raf arng consider implementation raf first army continue employ arng army reserve routine basis part operational force second army continue use arforgen model unit replacement train resource predictability govern deployment reset time train aoc reinforce department defense directive dodd establish october dodd establish reserve component rc operational force service secretary responsible ensure rc force meet operational readiness requirement ensure rc unit participate across operationalizing national guard continue use arforgen model future deployment expeditionary force def contingency expeditionary force mission critical maintain readiness effectiveness national guard large risk national guard institution arng bcts support unit apportion allocate arforgen readiness decrease operational train fund apportion unit competency atrophy similar arng experience,6,123
doc_AY2014_021_para_20_156.txt,accord rfpb analysis fiscal year budget request rc per caput cost range ac counterpart per caput cost depend cost element reserve component force account military end strength use defense budget arng bcts cost ratio ac bcts mobilize deploy rc arforgen model cost save pay allowance alone comprehensive review future role reserve component crfrrc combination three ac bcts two arng bcts support one gcc requirement annually five year period maintain current dod deployment rule arforgen model congressional decision force structure mix bcts across active component reserve component make future additionally crfrrc identify eight rc bcts would support one gcc requirement annually six pure rc force pool gcc would provide fiscal cost save dod rc bcts cost pay allowance equal ac bcts activate business practice future,10,124
doc_AY2014_023_para_22_165.txt,report documentation page army rapidly downsize face constrain uncertain fiscal resource diminish fiscal resource degrade readiness force threaten professionalism army professionalism depend readiness readiness soldier operate modern equipment prepare accomplish mission soldier train money competent soldier competent morale esprit de corp suffer reduce soldier commitment army loss professionalism deeper damage army loss readiness resource eventually become available army regain readiness train necessarily restore professionalism,19,64
doc_AY2014_023_para_22_169.txt,degrade readiness hinder build professional army soldier expert task high morale five component army profession expertise service trust esprit de corp lack readiness cause inability train degrade maintenance equipment erode expertise competence soldier degrade motivation morale also erode commitment key attribute esprit de corp addition competence commitment professional positive poorly train soldier positive time create negative culture train equip man function readiness affect competence commitment need sustain professionalism practical term readiness mean force comprise soldier operate modern equipment prepare accomplish mission,6,81
doc_AY2014_023_para_22_170.txt,however army go able send one bct ntc year decisive action train event date date major train operation send brigade ntc require loss leadership train development cancelation seven ntc rotation affect approximately company commander field grade officer battalion loss directly affect expertise impact equipment sustainment modernization dramatic impact train cumulative combine effect sequestration continue resolution affect army army defer nearly million dollar equipment reset include maintenance aircraft vehicle weapon piece communication poorly maintain equipment interfere train demoralize soldier addition could increase army accident rat soldier limit train opportunity want make every available opportunity count example aviation severe reduction fly hour aviator fly minimum hour sustain currency proficiency demoralize prepare fly discover properly maintain aircraft available,19,115
doc_AY2014_027_para_26_195.txt,report documentation page fiscal reality decline resource constrain effect sequestration department defense ability provide option cause service carefully analyze investment resultant value current future program army review current capability future need inform national strategic document resultant concept general raymond odierno army chief staff ask significant amount vertical lift capability resident army integrate emerge battle concept requirement combat aviation brigade become proficient operation monograph illustrate necessity army aviation regardless concept highlight capability limitation associate operate army asset sea domain provide option maintain train ready army force use sea domain army force current security environment lieutenant colonel jeffrey alan becker unite state army john bonin department military strategy plan operation project adviser abstract fiscal reality decline resource constrain effect sequestration department defense ability provide option cause service carefully analyze investment resultant value current future program army review current capability future need inform national strategic document resultant concept general raymond odierno army chief staff ask significant amount vertical lift capability resident army integrate emerge battle concept requirement combat aviation brigade become proficient operation monograph illustrate necessity army aviation regardless concept highlight capability limitation associate operate army asset sea domain provide option maintain train ready army force use sea domain army force current security environment continue explore opportunity increase jointness provide range option necessary protect nation martin fiscal reality decline resource constrict budgetary effect sequestration department defense ability provide desire mix equipment train manpower option cause service carefully analyze investment resultant value current future program,10,241
doc_AY2014_027_para_26_197.txt,furthermore apache helicopter posse multiple weapon system munition useful maritime domain ability carry employ hellfire missile joint force must take advantage capability light defense budget squeeze navy league exposition admiral jon greenert chief naval operation state need learn depend even though army helicopter already team allow aircrew operate receive control full motion video fee distance mile gray eagle unman aerial system service aircraft like strike eagle equip video transmit apache helicopter equip hellfire missile combine laser designate capability gray eagle predator unman aerial system destroy stationary move small boat target outside visual detection range protect sea base vessel fast attack craft fast inshore attack small boat swarm increase interoperability employment logistics apache helicopter navy recently announce preference hellfire missile continue test part littoral combat ship surface warfare mission army unveil plan reduce amount force ten combat aviation brigade retire entire fleet kiowa warrior helicopter move army national guard apache helicopter active component move active component helicopter army national guard reserve movement net reduction personnel across service create opportunity force augment relieve navy marine corp expect number deploy combat aviation brigade afghanistan go conjunction drawdown force come year number sea deployment continue especially rebalance pacific army force especially apache perfect army specific capability available right contribute unique army long history operate aircraft navy ship imply army capability replace specialize navy marine corp capability merely make point operate effectively maritime domain conduct full spectrum operation part joint force despite fact army aircraft support equipment optimize shipboard employment operate effectively onboard ship proper train preparation recognition limitation application prudent risk management persian gulf part operation prime chance arm little bird kiowa warrior helicopter operate multiple navy ship provide protection unite state flag tanker iran iraq war successfully engage several iranian operation uphold democracy joint task force use aircraft carrier america eisenhower force projection platform unite state operational area haiti conventional force consist army brigade helicopter nearly soldier pallet equipment additional six navy helicopter deploy haiti onboard u dwight eisenhower conduct operation ship flight hangar number limitation consideration cost associate operate army asset sea build operate predominately land limitation associate operate army aircraft asset include effect highly corrosive environment airframe grind support equipment potential opportunity cost displace navy marine corp rotary aircraft typically operate sea vessel train availability time aviation sea base unit procurement additional maintenance specific aviation life support equipment alse operate water compatibility army munition survivability equipment avionics shipboard environment design capability army asset risk operate sea fleet incur additional maintenance action reduction service life various component additional time maintenance action estimate additional part likely result le availability time expect navy marine corp operation uphold democracy army aviation unit unable procure corrosion preventative apply helicopter skin various component reduce corrosive effect,1,449
doc_AY2014_028_para_27_199.txt,report documentation page many year army readiness assessment system aggregation readiness assessment individual unit multiple hierarchical level strategic level assessment strategic capability organic industrial base deployment sustainment system train base conduct separately integrate align resource decision army regulation army strategic readiness develop comprehensive method conduct readiness assessment strategic level paper first examine current readiness process review major readiness enhancement army draft regulation assessment provide method improve ar directly link readiness resourcing decision use analytical framework framework result comprehensive consistent assessment communicate degree readiness achieve resource provide congress american people army strategic readiness link readiness resource colonel sean herron unite state army richard meinhart department command leadership management project adviser abstract many year army readiness assessment system aggregation readiness assessment individual unit multiple hierarchical level strategic level assessment strategic capability organic industrial base deployment sustainment system train base conduct separately integrate align resource decision,6,143
doc_AY2014_028_para_27_200.txt,several reason ineffectiveness discus current readiness assessment apply smallest unit aggregate da level regulation readiness assessment focus tactical operational unit readiness measure term specific condition unit term personnel p supply train maintenance r measure design four area p r as give rat ready unready lowest four individual readiness assessment become overall unit readiness assessment express core readiness rat mean unit resource train accomplish mission design rat indicate unit many respectively resource train require rat mean unit require additional resource train may undertake portion mission commensurate resource commander ability subjectively upgrade downgrade unit one level base independent important metric provide readiness picture particular unit echelon chain command aggregate lower unit report reach army readiness assessment army service component combatant command army staff assessment joint capability area jcas create army readiness assessment ra ra scale issue shortfall negligible impact ability execute assign mission issue shortfall impact ability execute assign mission issue shortfall significant impact ability execute assign mission issue shortfall preclude accomplishment assign mission ra submit chairman readiness system cr joint staff input joint force readiness review jfrr quarterly readiness report congress qrrc recur quarterly report inform readiness report congress qrrc recur quarterly report inform annual chairman risk assessment cra chairman joint chief staff cjcs outline risk meet also influence chairman program recommendation cpr recommend change secretary defense resourcing program mitigate risk,6,220
